,paul15_clusters,n_counts_all,louvain,louvain_anno,cell_type,dpt_pseudotime
491,2Ery,2015.0,5,5,Ery0,0.7444964
492,2Ery,2229.0,5,5,Ery0,0.727639
493,13Baso,1111.0,9,9,Monocyte Progenitor,0.25628448
494,13Baso,1509.0,11,11,Monocyte Progenitor,0.22379282
495,5Ery,2204.0,7,7,Ery4,0.5340089
496,5Ery,1349.0,7,7,Ery4,0.490105
497,9GMP,439.0,16,16/Stem,Early Progenitor,0.09045456
498,14Mo,2050.0,1,1,Monocyte Progenitor,0.2583193
499,7MEP,342.0,8,8,Ery4,0.22067791
500,14Mo,1648.0,4,4,HPC,0.26081303
501,11DC,551.0,23,23,Lymph,inf
502,16Neu,1276.0,14,14,Neutrophils,0.4094911
503,2Ery,4357.0,10,10/Ery,Ery0,0.7891771
504,2Ery,1963.0,6,6,Ery1,0.712251
505,10GMP,367.0,16,16/Stem,Early Progenitor,0.11029591
506,8Mk,1292.0,20,20/Mk,Mep,0.24955481
507,2Ery,2594.0,5,5,Ery0,0.6168194
508,5Ery,2417.0,13,13,Ery3,0.60898685
509,13Baso,3651.0,24,24/Mo,Monocyte Progenitor,0.31415272
510,13Baso,1810.0,9,9,Monocyte Progenitor,0.2506851
511,12Baso,1291.0,0,0,HPC,0.034484472
512,7MEP,396.0,8,8,Ery4,0.24089867
513,7MEP,490.0,12,12,Ery4,0.22366348
514,13Baso,918.0,9,9,Monocyte Progenitor,0.26549602
515,6Ery,422.0,12,12,Ery4,0.25744966
516,5Ery,2745.0,13,13,Ery3,0.65347475
517,16Neu,1476.0,19,19/Neu,Neutrophils,0.35496852
518,14Mo,1140.0,9,9,Monocyte Progenitor,0.28492212
519,13Baso,1558.0,9,9,Monocyte Progenitor,0.24366003
520,2Ery,4278.0,5,5,Ery0,0.76228607
521,14Mo,925.0,4,4,HPC,0.25735155
522,5Ery,1513.0,13,13,Ery3,0.5670944
523,7MEP,379.0,8,8,Ery4,0.22366244
524,10GMP,1690.0,0,0,HPC,0.17874731
525,19Lymph,647.0,21,21,DC,inf
526,14Mo,870.0,16,16/Stem,Early Progenitor,0.184662
527,4Ery,3476.0,15,15,Ery1,0.7606162
528,14Mo,2976.0,2,2,Neutrophils,0.20038204
529,12Baso,935.0,16,16/Stem,Early Progenitor,0.05622156
530,9GMP,1310.0,0,0,HPC,0.057830147
531,15Mo,3791.0,2,2,Neutrophils,0.28134415
532,17Neu,869.0,22,22/Baso,Basophil,0.3674896
533,7MEP,624.0,8,8,Ery4,0.21648681
534,16Neu,1355.0,2,2,Neutrophils,0.3102151
535,13Baso,3084.0,9,9,Monocyte Progenitor,0.25146472
536,3Ery,8696.0,15,15,Ery1,0.6817469
537,15Mo,1791.0,2,2,Neutrophils,0.26556364
538,3Ery,4251.0,3,3,Ery0,0.7998528
539,7MEP,807.0,7,7,Ery4,0.29501
540,8Mk,1080.0,20,20/Mk,Mep,0.40448222
541,19Lymph,503.0,21,21,DC,inf
542,3Ery,1927.0,6,6,Ery1,0.55978477
543,13Baso,1343.0,9,9,Monocyte Progenitor,0.24962975
544,9GMP,915.0,0,0,HPC,0.056866094
545,3Ery,3679.0,15,15,Ery1,0.6378477
546,3Ery,3094.0,6,6,Ery1,0.59928644
547,2Ery,4055.0,10,10/Ery,Ery0,0.71730065
548,16Neu,1552.0,19,19/Neu,Neutrophils,0.42080265
549,14Mo,2850.0,1,1,Monocyte Progenitor,0.23478624
550,16Neu,1555.0,19,19/Neu,Neutrophils,0.3974634
551,6Ery,777.0,7,7,Ery4,0.3667092
552,14Mo,1513.0,9,9,Monocyte Progenitor,0.2575026
553,5Ery,1255.0,13,13,Ery3,0.5552471
554,14Mo,1611.0,1,1,Monocyte Progenitor,0.24489938
555,14Mo,2471.0,4,4,HPC,0.22364786
556,19Lymph,290.0,21,21,DC,inf
557,15Mo,1330.0,2,2,Neutrophils,0.29916438
558,13Baso,801.0,0,0,HPC,0.08198309
559,14Mo,1104.0,2,2,Neutrophils,0.3350239
560,13Baso,1762.0,11,11,Monocyte Progenitor,0.28909868
561,17Neu,898.0,22,22/Baso,Basophil,0.3452859
562,14Mo,1258.0,11,11,Monocyte Progenitor,0.24263863
563,1Ery,3285.0,10,10/Ery,Ery0,0.92104113
564,2Ery,3692.0,6,6,Ery1,0.71373427
565,5Ery,3803.0,13,13,Ery3,0.5882485
566,6Ery,282.0,12,12,Ery4,0.23790413
567,15Mo,5364.0,1,1,Monocyte Progenitor,0.3019916
568,10GMP,906.0,0,0,HPC,0.09335477
569,6Ery,577.0,12,12,Ery4,0.27780756
570,10GMP,473.0,0,0,HPC,0.050252132
571,7MEP,304.0,12,12,Ery4,0.20730054
572,14Mo,1372.0,1,1,Monocyte Progenitor,0.21415548
573,13Baso,3022.0,0,0,HPC,0.11997061
574,2Ery,3773.0,5,5,Ery0,0.69955695
575,14Mo,5044.0,2,2,Neutrophils,0.30623943
576,14Mo,2095.0,4,4,HPC,0.29500672
577,6Ery,357.0,12,12,Ery4,0.17446315
578,13Baso,453.0,0,0,HPC,0.08213289
579,14Mo,1580.0,9,9,Monocyte Progenitor,0.30704302
580,14Mo,760.0,11,11,Monocyte Progenitor,0.24409863
581,2Ery,2572.0,5,5,Ery0,0.6571806
582,6Ery,1729.0,13,13,Ery3,0.51101375
583,13Baso,1705.0,4,4,HPC,0.18048878
584,10GMP,543.0,0,0,HPC,0.12338554
585,15Mo,1111.0,2,2,Neutrophils,0.31846535
586,16Neu,1775.0,19,19/Neu,Neutrophils,0.42399475
587,10GMP,1396.0,0,0,HPC,0.06389648
588,1Ery,1999.0,10,10/Ery,Ery0,0.8537027
589,14Mo,2612.0,1,1,Monocyte Progenitor,0.23533571
590,12Baso,1126.0,16,16/Stem,Early Progenitor,0.08316017
591,10GMP,1125.0,0,0,HPC,0.095727034
592,12Baso,482.0,16,16/Stem,Early Progenitor,0.052946623
593,16Neu,1777.0,19,19/Neu,Neutrophils,0.40253556
594,10GMP,1631.0,0,0,HPC,0.047384303
595,13Baso,2207.0,11,11,Monocyte Progenitor,0.1961969
596,16Neu,1524.0,14,14,Neutrophils,0.38533127
597,6Ery,792.0,12,12,Ery4,0.28036273
598,5Ery,751.0,13,13,Ery3,0.5767453
599,10GMP,1026.0,0,0,HPC,0.057018425
600,13Baso,2053.0,11,11,Monocyte Progenitor,0.18874137
601,19Lymph,512.0,21,21,DC,inf
602,14Mo,1504.0,4,4,HPC,0.28825903
603,5Ery,1556.0,13,13,Ery3,0.48163763
604,13Baso,1951.0,11,11,Monocyte Progenitor,0.26675898
605,13Baso,2305.0,1,1,Monocyte Progenitor,0.18056378
606,13Baso,1726.0,9,9,Monocyte Progenitor,0.28025678
607,19Lymph,708.0,21,21,DC,inf
608,13Baso,1530.0,4,4,HPC,0.21974382
609,4Ery,4320.0,3,3,Ery0,0.6903671
610,12Baso,695.0,16,16/Stem,Early Progenitor,0.037769962
611,10GMP,735.0,16,16/Stem,Early Progenitor,0.03503931
612,11DC,731.0,23,23,Lymph,inf
613,1Ery,3306.0,10,10/Ery,Ery0,0.9185699
614,19Lymph,526.0,21,21,DC,inf
615,3Ery,3041.0,3,3,Ery0,0.79184216
616,6Ery,602.0,7,7,Ery4,0.30137357
617,6Ery,785.0,12,12,Ery4,0.2534704
618,2Ery,4018.0,5,5,Ery0,0.679847
619,2Ery,3291.0,10,10/Ery,Ery0,0.82204306
620,13Baso,1549.0,11,11,Monocyte Progenitor,0.18877319
621,3Ery,2217.0,18,18,Ery2,0.5809164
622,15Mo,1663.0,19,19/Neu,Neutrophils,0.32819474
623,2Ery,3617.0,5,5,Ery0,0.8122778
624,10GMP,873.0,0,0,HPC,0.06822555
625,5Ery,1257.0,13,13,Ery3,0.48942164
626,13Baso,865.0,4,4,HPC,0.2273989
627,9GMP,514.0,0,0,HPC,0.09075388
628,9GMP,876.0,0,0,HPC,0.07949053
629,12Baso,835.0,4,4,HPC,0.054859787
630,17Neu,677.0,22,22/Baso,Basophil,0.2765464
631,6Ery,601.0,12,12,Ery4,0.28898388
632,7MEP,374.0,12,12,Ery4,0.29058793
633,6Ery,2154.0,7,7,Ery4,0.47499275
634,14Mo,2141.0,1,1,Monocyte Progenitor,0.24606748
635,14Mo,1085.0,1,1,Monocyte Progenitor,0.20980984
636,19Lymph,474.0,21,21,DC,inf
637,13Baso,1881.0,11,11,Monocyte Progenitor,0.20927641
638,13Baso,1261.0,9,9,Monocyte Progenitor,0.25972068
639,2Ery,2881.0,6,6,Ery1,0.62365955
640,13Baso,1021.0,0,0,HPC,0.17639434
641,7MEP,384.0,12,12,Ery4,0.26027796
642,3Ery,2710.0,15,15,Ery1,0.64475846
643,13Baso,905.0,0,0,HPC,0.17218788
644,15Mo,2015.0,2,2,Neutrophils,0.33857512
645,13Baso,528.0,4,4,HPC,0.18749642
646,11DC,793.0,23,23,Lymph,inf
647,17Neu,677.0,22,22/Baso,Basophil,0.3144505
648,13Baso,2219.0,0,0,HPC,0.19547576
649,14Mo,1030.0,1,1,Monocyte Progenitor,0.24980226
650,2Ery,2539.0,6,6,Ery1,0.5417349
651,11DC,544.0,23,23,Lymph,inf
652,13Baso,1392.0,0,0,HPC,0.1322225
653,13Baso,887.0,9,9,Monocyte Progenitor,0.27776775
654,2Ery,3514.0,5,5,Ery0,0.79385537
655,2Ery,2690.0,10,10/Ery,Ery0,0.70196027
656,16Neu,1645.0,14,14,Neutrophils,0.33574075
657,14Mo,1213.0,11,11,Monocyte Progenitor,0.26178876
658,10GMP,563.0,0,0,HPC,0.071677774
659,16Neu,1648.0,14,14,Neutrophils,0.3471156
660,13Baso,1629.0,1,1,Monocyte Progenitor,0.23036787
661,10GMP,1255.0,11,11,Monocyte Progenitor,0.21721527
662,16Neu,2342.0,14,14,Neutrophils,0.37980926
663,2Ery,1064.0,13,13,Ery3,0.56258374
664,14Mo,2343.0,1,1,Monocyte Progenitor,0.21798319
665,12Baso,385.0,16,16/Stem,Early Progenitor,0.027647158
666,9GMP,476.0,0,0,HPC,0.1981467
667,2Ery,3962.0,5,5,Ery0,0.6134861
668,2Ery,6287.0,10,10/Ery,Ery0,0.8008108
669,2Ery,2373.0,5,5,Ery0,0.7745614
670,6Ery,1645.0,13,13,Ery3,0.45404863
671,13Baso,2881.0,11,11,Monocyte Progenitor,0.21100543
672,14Mo,760.0,4,4,HPC,0.21548039
673,2Ery,3445.0,6,6,Ery1,0.6951062
674,5Ery,4216.0,6,6,Ery1,0.7189082
675,16Neu,2279.0,19,19/Neu,Neutrophils,0.37974766
676,6Ery,584.0,12,12,Ery4,0.2484884
677,13Baso,917.0,4,4,HPC,0.22067438
678,14Mo,1572.0,9,9,Monocyte Progenitor,0.30223948
679,5Ery,1703.0,7,7,Ery4,0.5733514
680,5Ery,1795.0,13,13,Ery3,0.5783547
681,2Ery,2883.0,10,10/Ery,Ery0,0.8033389
682,4Ery,4209.0,6,6,Ery1,0.608382
683,2Ery,2387.0,5,5,Ery0,0.7601438
684,10GMP,622.0,0,0,HPC,0.08964859
685,5Ery,2420.0,6,6,Ery1,0.61853546
686,13Baso,1180.0,11,11,Monocyte Progenitor,0.2770327
687,13Baso,1678.0,11,11,Monocyte Progenitor,0.27481002
688,2Ery,2649.0,5,5,Ery0,0.6935126
689,12Baso,702.0,16,16/Stem,Early Progenitor,0.16782872
690,12Baso,994.0,22,22/Baso,Basophil,0.16938084
691,15Mo,1314.0,2,2,Neutrophils,0.3167598
692,13Baso,1983.0,1,1,Monocyte Progenitor,0.24197376
693,13Baso,2511.0,1,1,Monocyte Progenitor,0.2176564
694,13Baso,884.0,24,24/Mo,Monocyte Progenitor,0.31198838
695,13Baso,1395.0,4,4,HPC,0.24359177
696,10GMP,1588.0,0,0,HPC,0.098168835
697,14Mo,1064.0,2,2,Neutrophils,0.27496532
698,13Baso,2229.0,9,9,Monocyte Progenitor,0.25133532
699,7MEP,414.0,12,12,Ery4,0.27126485
700,13Baso,1130.0,1,1,Monocyte Progenitor,0.27049795
701,9GMP,348.0,8,8,Ery4,0.1829371
702,14Mo,2150.0,9,9,Monocyte Progenitor,0.30864656
703,1Ery,4001.0,10,10/Ery,Ery0,0.80961555
704,3Ery,5052.0,15,15,Ery1,0.7205935
705,13Baso,2167.0,24,24/Mo,Monocyte Progenitor,0.30829135
706,13Baso,861.0,9,9,Monocyte Progenitor,0.23983909
707,15Mo,2381.0,19,19/Neu,Neutrophils,0.4731858
708,2Ery,1459.0,5,5,Ery0,0.6527438
709,13Baso,3074.0,0,0,HPC,0.20370829
710,5Ery,5143.0,3,3,Ery0,0.71580017
711,14Mo,2162.0,1,1,Monocyte Progenitor,0.23054321
712,3Ery,5502.0,3,3,Ery0,0.78230023
713,6Ery,869.0,7,7,Ery4,0.4232595
714,2Ery,4937.0,3,3,Ery0,0.71569425
715,19Lymph,353.0,21,21,DC,inf
716,15Mo,2164.0,2,2,Neutrophils,0.30081218
717,12Baso,1048.0,16,16/Stem,Early Progenitor,0.05790107
718,7MEP,412.0,8,8,Ery4,0.16478088
719,2Ery,4123.0,10,10/Ery,Ery0,0.9324562
720,8Mk,675.0,20,20/Mk,Mep,0.35039356
721,14Mo,3217.0,1,1,Monocyte Progenitor,0.23543483
722,14Mo,3663.0,9,9,Monocyte Progenitor,0.28554118
723,8Mk,681.0,8,8,Ery4,0.15834989
724,5Ery,2522.0,18,18,Ery2,0.5866446
725,14Mo,1176.0,4,4,HPC,0.2090729
726,2Ery,3155.0,10,10/Ery,Ery0,0.88729054
727,3Ery,5736.0,15,15,Ery1,0.6962947
728,9GMP,1181.0,0,0,HPC,0.06672487
729,5Ery,2478.0,6,6,Ery1,0.56605685
730,3Ery,4042.0,3,3,Ery0,0.7007898
731,5Ery,2770.0,6,6,Ery1,0.64435583
732,14Mo,3102.0,1,1,Monocyte Progenitor,0.24862225
733,2Ery,4804.0,3,3,Ery0,0.76482785
734,2Ery,3916.0,3,3,Ery0,0.8773002
735,14Mo,1491.0,2,2,Neutrophils,0.25582945
736,16Neu,1718.0,2,2,Neutrophils,0.31289053
737,9GMP,387.0,8,8,Ery4,0.21374613
738,16Neu,2834.0,19,19/Neu,Neutrophils,0.44031462
739,15Mo,3777.0,14,14,Neutrophils,0.35190842
740,10GMP,1913.0,0,0,HPC,0.13531071
741,3Ery,6223.0,3,3,Ery0,0.72739285
742,14Mo,2476.0,11,11,Monocyte Progenitor,0.29090837
743,8Mk,953.0,20,20/Mk,Mep,0.18809906
744,14Mo,1224.0,4,4,HPC,0.27330408
745,15Mo,1452.0,1,1,Monocyte Progenitor,0.24924454
746,16Neu,1182.0,2,2,Neutrophils,0.28228182
747,5Ery,2373.0,6,6,Ery1,0.57624483
748,14Mo,2370.0,4,4,HPC,0.19914377
749,16Neu,687.0,14,14,Neutrophils,0.38067892
750,4Ery,1672.0,13,13,Ery3,0.5768208
751,2Ery,3583.0,3,3,Ery0,0.8389921
752,13Baso,1827.0,9,9,Monocyte Progenitor,0.29405254
753,14Mo,3113.0,1,1,Monocyte Progenitor,0.21266545
754,13Baso,1488.0,0,0,HPC,0.19423084
755,5Ery,1795.0,7,7,Ery4,0.4229987
756,13Baso,1822.0,0,0,HPC,0.14745279
757,7MEP,403.0,8,8,Ery4,0.2346314
758,15Mo,1907.0,2,2,Neutrophils,0.32821012
759,6Ery,719.0,7,7,Ery4,0.31352258
760,16Neu,1976.0,14,14,Neutrophils,0.29364982
761,15Mo,2920.0,2,2,Neutrophils,0.27134067
762,12Baso,851.0,22,22/Baso,Basophil,0.09726003
763,6Ery,841.0,7,7,Ery4,0.37162232
764,13Baso,1563.0,24,24/Mo,Monocyte Progenitor,0.32353842
765,14Mo,1839.0,4,4,HPC,0.22633934
766,16Neu,1827.0,14,14,Neutrophils,0.3122417
767,14Mo,2308.0,11,11,Monocyte Progenitor,0.2451701
768,14Mo,1809.0,1,1,Monocyte Progenitor,0.2182265
769,2Ery,2515.0,5,5,Ery0,0.7314494
770,6Ery,886.0,7,7,Ery4,0.33986032
771,6Ery,477.0,12,12,Ery4,0.26382142
772,13Baso,2363.0,0,0,HPC,0.18282926
773,14Mo,2214.0,11,11,Monocyte Progenitor,0.23321153
774,16Neu,2973.0,14,14,Neutrophils,0.35362616
775,2Ery,6542.0,17,17,Ery0,0.7434952
776,2Ery,4442.0,10,10/Ery,Ery0,0.790005
777,5Ery,4194.0,6,6,Ery1,0.7262353
778,2Ery,3732.0,5,5,Ery0,0.7990834
779,5Ery,2677.0,7,7,Ery4,0.48871183
780,1Ery,3681.0,10,10/Ery,Ery0,0.8403173
781,13Baso,1998.0,0,0,HPC,0.2131807
782,14Mo,2065.0,1,1,Monocyte Progenitor,0.27608782
783,14Mo,2174.0,1,1,Monocyte Progenitor,0.26299065
784,16Neu,1992.0,19,19/Neu,Neutrophils,0.35434565
785,1Ery,3092.0,10,10/Ery,Ery0,0.7301028
786,6Ery,4014.0,18,18,Ery2,0.5730507
787,14Mo,2676.0,2,2,Neutrophils,0.171689
788,14Mo,2736.0,1,1,Monocyte Progenitor,0.22967006
789,15Mo,2445.0,4,4,HPC,0.2385109
790,13Baso,2019.0,24,24/Mo,Monocyte Progenitor,0.33310318
791,15Mo,1648.0,2,2,Neutrophils,0.31005025
792,1Ery,5273.0,10,10/Ery,Ery0,0.8326499
793,8Mk,1380.0,20,20/Mk,Mep,0.54301417
794,15Mo,1369.0,19,19/Neu,Neutrophils,0.44925857
795,14Mo,2550.0,1,1,Monocyte Progenitor,0.2510679
796,10GMP,1319.0,0,0,HPC,0.06749973
797,9GMP,1267.0,0,0,HPC,0.047157418
798,4Ery,2524.0,18,18,Ery2,0.5456464
799,15Mo,2322.0,4,4,HPC,0.2777888
800,4Ery,332.0,7,7,Ery4,0.4761541
801,11DC,458.0,23,23,Lymph,inf
802,2Ery,3610.0,10,10/Ery,Ery0,0.8572582
803,14Mo,2104.0,4,4,HPC,0.17703083
804,14Mo,1055.0,0,0,HPC,0.18457942
805,8Mk,1385.0,20,20/Mk,Mep,0.2070425
806,13Baso,2419.0,0,0,HPC,0.15456274
807,6Ery,2071.0,7,7,Ery4,0.48654518
808,13Baso,1184.0,11,11,Monocyte Progenitor,0.24636821
809,4Ery,3030.0,6,6,Ery1,0.5381181
810,13Baso,832.0,0,0,HPC,0.092241414
811,15Mo,1858.0,1,1,Monocyte Progenitor,0.26720566
812,13Baso,1689.0,11,11,Monocyte Progenitor,0.2614546
813,4Ery,4229.0,3,3,Ery0,0.72577643
814,2Ery,2526.0,10,10/Ery,Ery0,0.7929823
815,16Neu,1551.0,14,14,Neutrophils,0.36893323
816,2Ery,2123.0,10,10/Ery,Ery0,0.8528843
817,5Ery,1732.0,13,13,Ery3,0.53744334
818,2Ery,3289.0,10,10/Ery,Ery0,0.79564494
819,5Ery,1234.0,13,13,Ery3,0.49784547
820,10GMP,1368.0,0,0,HPC,0.11056036
821,13Baso,2384.0,9,9,Monocyte Progenitor,0.27809477
822,13Baso,1060.0,11,11,Monocyte Progenitor,0.309187
823,8Mk,430.0,8,8,Ery4,0.27464205
824,16Neu,2081.0,19,19/Neu,Neutrophils,0.4098185
825,13Baso,2324.0,0,0,HPC,0.235564
826,7MEP,325.0,7,7,Ery4,0.33292642
827,4Ery,3829.0,3,3,Ery0,0.7007337
828,13Baso,2684.0,0,0,HPC,0.21761352
829,6Ery,381.0,12,12,Ery4,0.26435992
830,2Ery,2213.0,5,5,Ery0,0.72459674
831,14Mo,535.0,4,4,HPC,0.22375849
832,16Neu,2056.0,2,2,Neutrophils,0.33005723
833,2Ery,3390.0,10,10/Ery,Ery0,0.73773605
834,13Baso,1561.0,0,0,HPC,0.13823009
835,14Mo,1427.0,2,2,Neutrophils,0.25602177
836,6Ery,1306.0,7,7,Ery4,0.51612955
837,2Ery,2734.0,10,10/Ery,Ery0,0.8372867
838,2Ery,2498.0,6,6,Ery1,0.7167225
839,2Ery,3250.0,5,5,Ery0,0.77953166
840,8Mk,1028.0,16,16/Stem,Early Progenitor,0.081292495
841,2Ery,2919.0,10,10/Ery,Ery0,0.8108666
842,4Ery,4272.0,3,3,Ery0,0.67544025
843,14Mo,1199.0,24,24/Mo,Monocyte Progenitor,0.3506225
844,17Neu,430.0,22,22/Baso,Basophil,0.11912937
845,5Ery,1338.0,13,13,Ery3,0.49407735
846,13Baso,2153.0,1,1,Monocyte Progenitor,0.26985797
847,7MEP,376.0,8,8,Ery4,0.20270085
848,3Ery,4611.0,15,15,Ery1,0.6004214
849,5Ery,5117.0,15,15,Ery1,0.61208254
850,13Baso,2476.0,9,9,Monocyte Progenitor,0.3110172
851,8Mk,1189.0,20,20/Mk,Mep,0.5454096
852,6Ery,565.0,12,12,Ery4,0.28390026
853,5Ery,2666.0,6,6,Ery1,0.6187697
854,5Ery,1781.0,13,13,Ery3,0.4968874
855,11DC,966.0,23,23,Lymph,inf
856,5Ery,2921.0,5,5,Ery0,0.64174247
857,15Mo,733.0,2,2,Neutrophils,0.37831157
858,2Ery,2843.0,5,5,Ery0,0.6428129
859,2Ery,3511.0,5,5,Ery0,0.6569271
860,15Mo,3068.0,2,2,Neutrophils,0.35418063
861,15Mo,2253.0,2,2,Neutrophils,0.29576558
862,13Baso,4392.0,0,0,HPC,0.1055616
863,14Mo,2572.0,1,1,Monocyte Progenitor,0.23801212
864,14Mo,2460.0,1,1,Monocyte Progenitor,0.33396575
865,14Mo,1553.0,1,1,Monocyte Progenitor,0.2504087
866,5Ery,2422.0,13,13,Ery3,0.5099073
867,7MEP,590.0,12,12,Ery4,0.25370097
868,3Ery,2522.0,18,18,Ery2,0.6162442
869,2Ery,3194.0,3,3,Ery0,0.7519154
870,7MEP,485.0,8,8,Ery4,0.23032153
871,1Ery,3065.0,10,10/Ery,Ery0,0.9666864
872,14Mo,4259.0,1,1,Monocyte Progenitor,0.32820767
873,2Ery,4199.0,5,5,Ery0,0.82237715
874,15Mo,1461.0,2,2,Neutrophils,0.2754945
875,13Baso,3647.0,4,4,HPC,0.33006045
876,4Ery,1927.0,7,7,Ery4,0.555451
877,13Baso,7140.0,4,4,HPC,0.2960665
878,6Ery,1367.0,7,7,Ery4,0.45698866
879,9GMP,1358.0,0,0,HPC,0.06027991
880,3Ery,3416.0,17,17,Ery0,0.8044315
881,6Ery,1377.0,7,7,Ery4,0.41455182
882,1Ery,2343.0,10,10/Ery,Ery0,0.9205645
883,4Ery,4201.0,15,15,Ery1,0.71900064
884,13Baso,2847.0,9,9,Monocyte Progenitor,0.27282336
885,9GMP,2021.0,0,0,HPC,0.065213166
886,7MEP,418.0,8,8,Ery4,0.23482384
887,14Mo,1761.0,1,1,Monocyte Progenitor,0.29550928
888,13Baso,2184.0,0,0,HPC,0.1330574
889,13Baso,3142.0,9,9,Monocyte Progenitor,0.32023504
890,19Lymph,460.0,21,21,DC,inf
891,10GMP,666.0,0,0,HPC,0.096365884
892,9GMP,871.0,16,16/Stem,Early Progenitor,0.042032618
893,5Ery,1826.0,7,7,Ery4,0.49748623
894,16Neu,1790.0,14,14,Neutrophils,0.39357758
895,14Mo,1565.0,1,1,Monocyte Progenitor,0.30646524
896,15Mo,1987.0,2,2,Neutrophils,0.27760783
897,2Ery,2751.0,3,3,Ery0,0.70137924
898,3Ery,3806.0,3,3,Ery0,0.75615716
899,13Baso,2182.0,0,0,HPC,0.20047198
900,6Ery,1477.0,7,7,Ery4,0.47618806
901,4Ery,1519.0,13,13,Ery3,0.67014927
902,3Ery,4369.0,3,3,Ery0,0.72992915
903,16Neu,2355.0,14,14,Neutrophils,0.31018233
904,9GMP,1400.0,16,16/Stem,Early Progenitor,0.05252637
905,9GMP,363.0,16,16/Stem,Early Progenitor,0.05743079
906,12Baso,315.0,8,8,Ery4,0.15346622
907,7MEP,451.0,8,8,Ery4,0.22090639
908,16Neu,1687.0,14,14,Neutrophils,0.3645406
909,6Ery,1523.0,7,7,Ery4,0.3666062
910,13Baso,1899.0,4,4,HPC,0.13297987
911,17Neu,1030.0,22,22/Baso,Basophil,0.22519933
912,14Mo,1547.0,1,1,Monocyte Progenitor,0.25978956
913,3Ery,3706.0,17,17,Ery0,0.81001276
914,16Neu,2486.0,14,14,Neutrophils,0.372464
915,13Baso,2316.0,0,0,HPC,0.17582113
916,14Mo,1709.0,24,24/Mo,Monocyte Progenitor,0.31451738
917,3Ery,4902.0,17,17,Ery0,0.87771964
918,14Mo,2105.0,4,4,HPC,0.24053499
919,16Neu,2050.0,14,14,Neutrophils,0.32569706
920,2Ery,5111.0,10,10/Ery,Ery0,0.6983669
921,18Eos,1295.0,4,4,HPC,0.5409006
922,7MEP,304.0,8,8,Ery4,0.2644832
923,7MEP,379.0,12,12,Ery4,0.24923706
924,5Ery,3047.0,6,6,Ery1,0.7095573
925,16Neu,1646.0,1,1,Monocyte Progenitor,0.30050588
926,2Ery,3518.0,5,5,Ery0,0.8314763
927,5Ery,2511.0,6,6,Ery1,0.63496053
928,13Baso,1658.0,11,11,Monocyte Progenitor,0.25346613
929,6Ery,537.0,12,12,Ery4,0.3322541
930,14Mo,1839.0,1,1,Monocyte Progenitor,0.2357534
931,12Baso,1322.0,22,22/Baso,Basophil,0.24560161
932,13Baso,1704.0,0,0,HPC,0.13805194
933,5Ery,4418.0,6,6,Ery1,0.7195291
934,2Ery,3468.0,6,6,Ery1,0.6833414
935,2Ery,5677.0,5,5,Ery0,0.7501472
936,14Mo,2899.0,9,9,Monocyte Progenitor,0.32054624
937,16Neu,2461.0,2,2,Neutrophils,0.30928192
938,14Mo,1583.0,0,0,HPC,0.21068019
939,1Ery,3118.0,10,10/Ery,Ery0,0.87938046
940,11DC,622.0,23,23,Lymph,inf
941,1Ery,4464.0,10,10/Ery,Ery0,0.91928095
942,13Baso,1610.0,0,0,HPC,0.18896323
943,3Ery,2716.0,6,6,Ery1,0.5985582
944,5Ery,4763.0,3,3,Ery0,0.84736556
945,16Neu,1947.0,2,2,Neutrophils,0.29084855
946,16Neu,2238.0,14,14,Neutrophils,0.3588563
947,6Ery,1416.0,7,7,Ery4,0.45142457
948,1Ery,3670.0,10,10/Ery,Ery0,0.92847514
949,14Mo,2613.0,0,0,HPC,0.21517643
950,16Neu,3170.0,2,2,Neutrophils,0.2583342
951,2Ery,5090.0,3,3,Ery0,0.7193007
952,10GMP,917.0,8,8,Ery4,0.12826067
953,5Ery,2747.0,13,13,Ery3,0.6223544
954,14Mo,3611.0,24,24/Mo,Monocyte Progenitor,0.31251746
955,2Ery,2292.0,5,5,Ery0,0.80150306
956,6Ery,2157.0,7,7,Ery4,0.4279814
957,5Ery,4043.0,3,3,Ery0,0.57678616
958,1Ery,2384.0,10,10/Ery,Ery0,0.9198394
959,5Ery,488.0,12,12,Ery4,0.27491748
960,15Mo,2858.0,2,2,Neutrophils,0.287633
961,19Lymph,315.0,21,21,DC,inf
962,10GMP,677.0,0,0,HPC,0.09792167
963,2Ery,5450.0,5,5,Ery0,0.65491074
964,5Ery,5179.0,6,6,Ery1,0.6529349
965,7MEP,389.0,8,8,Ery4,0.2244422
966,6Ery,2774.0,18,18,Ery2,0.6499484
967,11DC,1689.0,23,23,Lymph,inf
968,4Ery,4054.0,3,3,Ery0,0.6694965
969,15Mo,1797.0,9,9,Monocyte Progenitor,0.2645769
970,3Ery,4247.0,3,3,Ery0,0.7886613
971,2Ery,2853.0,10,10/Ery,Ery0,0.8025682
972,7MEP,585.0,12,12,Ery4,0.28674263
973,1Ery,3137.0,10,10/Ery,Ery0,0.9061934
974,7MEP,388.0,8,8,Ery4,0.25489318
975,5Ery,1604.0,13,13,Ery3,0.5168204
976,3Ery,6859.0,3,3,Ery0,0.7268696
977,3Ery,2589.0,3,3,Ery0,0.78521985
978,13Baso,2599.0,4,4,HPC,0.22642498
979,3Ery,4171.0,15,15,Ery1,0.6650521
